Ticker,Bloomberg,MySQL,Name,Sector,Industry_Group,Industry,Sub_Industry,Description
001450,001450 KS,001450_KS,Hyundai Marine & Fire Insurance Co. Ltd,Financials,Insurance,Insurance,Property & Casualty Insurance,"Hyundai Marine & Fire Insurance Co., Ltd. (HDMF) is a property and casualty insurer.  The Company's products include auto, fire, marine, general liability, leisure, travel, pension, and medical insurances."
001680,001680 KS,001680_KS,Daesang Corporation,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,"Daesang Corporation manufactures food seasonings, fermentations, sweeteners, starches, coffee, fodder, and bulk pharmaceutical ingredients.  The Company also constructs commercial buildings, infrastructures, and environmental facilities."
001740,001740 KS,001740_KS,SK Networks Company Limited,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo,"SK Networks Co., Ltd. operates as a mobile device distributor. The Company markets mobile phones and in circuit tester devices. SK Networks also conducts integrated logistics businesses, energy and chemical, steel and automotive product global trading, car rentals and maintenance, and other businesses."
001800,001800 KS,001800_KS,ORION Holdings Corp,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,"Orion Holdings Corp. manufactures snacks products. The Company produces and sells candies, gums, chocolates, pies, and other products. Orion Holdings also develops smart systems. Orion Holdings serves customers worldwide."
002380,002380 KS,002380_KS,KCC Corporation,Materials,Materials,Chemicals,Diversified Chemicals,"KCC Corporation manufactures paint and related product, building materials such as cement corrugated sheet, glass wool mat, and board and pipe cover, PVC window profile, paints, and ceramic fiber for high temperature applications. The Company also produces various glasses such as glass fiber, float glass, patterned glass, safety tempered glass, and long glass fibers."
002790,002790 KS,002790_KS,AMOREPACIFIC Group,Consumer Staples,Household & Personal Products,Personal Care Products,Personal Care Products,"AMOREPACIFIC Group is an investment holding company. The Company, through its subsidiaries, produce cosmetics and toiletries."
003090,003090 KS,003090_KS,"Daewoong Co., Ltd",Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,"Daewoong Co., Ltd. is a investment holding company which operates biotechnology, marketing system, and healthcare entities.  The Company also invests and develops over-the-counter drugs (OTC)."
003230,003230 KS,003230_KS,"Samyang Foods Co., Ltd",Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,"Samyang Foods Co., Ltd. manufactures instant and processed food products, such as noodles, snacks, cooking oil, and feed.  The Company also produces dairy goods including milk, cheese, and ice cream."
003240,003240 KS,003240_KS,"Taekwang Industrial Co., Ltd",Materials,Materials,Chemicals,Commodity Chemicals,"Taekwang Industrial Co., Ltd. manufactures synthetic yarns, petrochemical products, and textiles.  The Company's products include acrylic yarns, nylons, spandex, carbon fibers, spun yarns, polyester materials, and blankets.  Taekwang also produces electric equipment, such as audio equipment, and cordless telephones.  In addition, The Company operates real estate business."
003410,003410 KS,003410_KS,"Ssangyong Cement Industrial Co., Ltd",Materials,Materials,Construction Materials,Construction Materials,"SSANGYONG C&E. Co.,Ltd. produces cement and ready-mixed concrete. The Company also manufactures fine ceramics for industrial uses and ferrite magnets for components used in audio equipment. SSANGYONG C&E also develops housing, plant engineering, environmental resources, and leisure businesses."
003490,003490 KS,003490_KS,"Korean Air Lines Co.,Ltd",Industrials,Transportation,Passenger Airlines,Passenger Airlines,"Korean Air Lines Co., Ltd. operates air transportation services.  The Company's services include passenger and cargo transportation, aircraft maintenance, and air catering.  Korean Air Lines provides domestic and international airline services."
003550,003550 KS,003550_KS,LG Corp,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,"LG Corp. is a holding company, which operates subsidiaries including LG Electronics, LG Household & Health Care, LG Chem Ltd., and Dacom Corp. The Company's main business areas are electronics, chemicals, and household products manufacturing and telecommunications services."
003670,003670 KS,003670_KS,Posco Chemical Co Ltd,Materials,Materials,Construction Materials,Construction Materials,"Posco Future M Co., Ltd. manufactures and distributes energy materials. The Company produces battery materials, advanced chemical materials, basic industrial materials, and other related products. Posco Future M also produces lime chemical and refractory products."
003850,003850 KS,003850_KS,Boryung Pharmaceutical Ltd,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,"Boryung Corporation operates as a pharmaceutical manufacturing company. The Company produces kanarb, stogar, maxipime, gemzar, genexol, xeloda, antibiotics, cancer drugs, prescription drugs, and other related products. Boryung markets its products worldwide."
004000,004000 KS,004000_KS,"LOTTE Fine Chemical Co., Ltd",Materials,Materials,Chemicals,Diversified Chemicals,"LOTTE Fine Chemical Co., Ltd. produces general and fine chemicals. The Company produces ammonia, epichlorohydrin, caustic soda, and dimethylformamide. LOTTE Fine Chemical also manufactures chemicals used in pharmaceutical and paint manufacturing areas."
004020,004020 KS,004020_KS,Hyundai Steel Company,Materials,Materials,Metals & Mining,Steel,"Hyundai Steel Company manufactures various types of steel products. The Company produces steel bars, H-beams as well as hot rolled steel, cold rolled steel, and other steel sheet products. Hyundai Steel sells its products to the domestic and overseas markets."
004170,004170 KS,004170_KS,Shinsegae Inc,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail,"SHINSEGAE Inc. operates department stores in South Korea.  The Company retails food, clothing, household goods, electronics, and other items through several branch stores."
004370,004370 KS,004370_KS,"Nongshim Co., Ltd",Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,"Nongshim Co., Ltd. manufactures, and markets instant noodles, snacks, and beverages.  The Company also produces refined palm oil and food ingredients."
004490,004490 KS,004490_KS,"Sebang Global Battery Co., Ltd",Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,"Sebang Global Battery Co., Ltd. specializes in manufacturing storage batteries used in automobiles, motorcycles, electric vehicles, and industrial machinery such as excavators and bulldozers.  The Company provides its products to domestic and overseas markets."
004800,004800 KS,004800_KS,Hyosung Corporation,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,"Hyosung Corporation manufactures and distributes fiber products. The Company produces terylene, viscose fiber, carbon fiber, acetate fiber, and other related products. Hyosung also operates textile, heavy industry, industrial materials, chemicals, and other businesses."
004990,004990 KS,004990_KS,LOTTE Corporation,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates,"Lotte Corporation operates as a food manufacturing company. The Company produces and sells chewing gum, candy products, biscuits, chocolates, pastrries, and other products. Lotte markets its products worldwide."
005250,005250 KS,005250_KS,Green Cross Holdings Corporation,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,"Green Cross Holdings Corporation is a holding company, which operates pharmaceutical, biotechnology, distribution system, life insurance, and healthcare entities.  The Company also invests in biotechnology venture capital and markets medical research information."
005300,005300 KS,005300_KS,"Lotte Chilsung Beverage Co.,Ltd",Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Be,"Lotte Chilsung Beverage Co., Ltd. manufactures alcoholic and non-alcoholic beverages such as carbonic acid drinks, fruit juices, soybean drinks, teas, and traditional health beverages."
005380,005380 KS,005380_KS,Hyundai Motor Company,Consumer Discretionary,Automobiles & Components,Automobiles,Automobile Manufacturers,"Hyundai Motor Company manufactures, sells, and exports passenger cars, trucks, and commercial vehicles. The Company also sells various auto parts and operates auto repair service centers throughout South Korea. Hyundai Motor provides financial services through its subsidiaries."
005490,005490 KS,005490_KS,POSCO,Materials,Materials,Metals & Mining,Steel,"POSCO Holdings Inc. manufactures and distributes steel products. The Company produces crude steels, hot rolled steels, cold rolled steels, stainless steels, steel plates, wire rods, galvanized steels, electrical steels, and other related products. POSCO Holdings markets its products worldwide."
005830,005830 KS,005830_KS,"DB Insurance Co., Ltd",Financials,Insurance,Insurance,Property & Casualty Insurance,"DB Insurance Co.,Ltd provides insurance services. The Company offers automotive insurance, long term casualty insurance, property insurance, fire and marine insurance, and other services. DB Insurance provides services in Korea."
005850,005850 KS,005850_KS,SL Corporation,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,"SL Corp. designs and manufactures head lamps, chassis, and power trains for autos and motorcycles.  The Company exports its products to overseas market such as North America and Australia."
005930,005930 KS,005930_KS,"Samsung Electronics Co., Ltd",Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &","Samsung Electronics Co., Ltd. manufactures a wide range of consumer and industrial electronic equipment and products such as semiconductors, personal computers, peripherals, monitors, televisions, and home appliances including air conditioners and microwave ovens. The Company also produces Internet access network systems and telecommunications equipment including mobile phones."
005940,005940 KS,005940_KS,"NH Investment & Securities Co., Ltd",Financials,Financial Services,Capital Markets,Investment Banking & Brokerage,"NH Investment & Securities Co., Ltd. provides brokerage, underwriting, and securities dealing services.  The Company's offerings include financial advisory service, online trading, corporate financing, research, foreign exchange service, beneficiary certificates, investment consulting, financial derivatives, bonds, and mutual funds."
006040,006040 KS,006040_KS,"Dongwon Industries Co., Ltd",Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,"Dongwon Industries Co., Ltd. is a deep-sea fishing company.  The Company produces and distributes fish can goods and processed seafood products including tuna sashimi."
006260,006260 KS,006260_KS,LS Corp,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,"LS Corp is a holding company, which operated subsidiaries including LS Industrial Systems, LS Cable, LS-Nikko Copper and LS Mtron."
006280,006280 KS,006280_KS,Green Cross Corporation,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology,"Green Cross Corporation manufactures household medical drugs. The Company's product includes medicines for cold and fever, nutrition, antiseptic drug, and a lip balm."
006360,006360 KS,006360_KS,GS Engineering & Construction Corporation,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,"GS Engineering & Construction Corp. contracts civil engineering and architectural works, residential and commercial building constructions, and plant installations.  The Company also builds educational, leisure, distribution, and environmental facilities."
006400,006400 KS,006400_KS,"Samsung SDI Co., Ltd",Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components,"Samsung SDI Co., Ltd. specializes in developing Lithium Ion Battery (LIB) technology. The Company also manufactures cathode ray tubes (CRTs) for televisions and computer monitors. Samsung SDI also produces liquid crystal display (LCD) components and rechargeable batteries for cellular phones, personal digital assistants (PDAs), Energy Storage Systems and solar panels."
006650,006650 KS,006650_KS,"Korea Petrochemical Ind. Co., Ltd",Materials,Materials,Chemicals,Commodity Chemicals,"Korea Petrochemical Ind Co., Ltd. manufactures chemical products such as high density polyethylene and polypropylene.  The Company also produces basic organic chemicals including ethylene, propylene, and mixed C4s.  Korea Petrochemical supplies its products to the industrial and home appliances, film, pipe, toy, electric wire, and medical instrument manufacturers."
006800,006800 KS,006800_KS,"Mirae Asset Daewoo Co., Ltd",Financials,Financial Services,Capital Markets,Diversified Capital Markets,"Mirae Asset Securities Co.,Ltd. provides comprehensive wealth management services. The Company offers fixed income securities brokerage, securities dealing, equity underwriting, and other services. Mirae Asset Securities also deals with mergers and acquisitions, foreign currency, and financial derivatives."
007070,007070 KS,007070_KS,"GSRetail Co., Ltd",Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Retail,"GS Retail Co., Ltd. operates a chain of retail stores. The Company provides beauty and skincare products, candles, gifts, perfumes, ornaments, bathroom accessories, and other products. GS Retail serves its customers in the Republic of South Korea."
007310,007310 KS,007310_KS,Ottogi Corporation,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats,"Ottogi Corporation manufactures food seasonings and instant food, such as mayonnaise, ketchup, salad dressing, sesame and cooking oils, and instant curry. The Company also produces frozen salads, fruit preservatives, instant noodles, and canned tuna."
008770,008770 KS,008770_KS,"Hotel Shilla Co.,Ltd",Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Other Specialty Retail,"Hotel Shilla Co.,Ltd operates and manages hotels in Seoul and Jeju. The Company also operates duty free shops, bakeries, restaurants, and catering and laundry service businesses."
008930,008930 KS,008930_KS,"Hanmi Science Co., Ltd",Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,"Hanmi Science Co., Ltd. produces pharmaceutical products, including antibiotics, vitamins, and intestinal tonics. The Company also provides beverages and processes soft capsules for other pharmaceutical firms."
009150,009150 KS,009150_KS,"Samsung Electro-Mechanics Co., Ltd",Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components,"Samsung Electro-Mechanics Co., Ltd. manufactures a variety of electronic components used in computers, audio and video products, industrial electronics, and telecommunication equipment. The Company's products include multi-layer boards and capacitors, optical Pick Ups, deflection yokes (DY), keyboards, speakers, and light emitting diode (LED) products."
009240,009240 KS,009240_KS,"Hanssem Co., Ltd",Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings,"Hanssem Co., Ltd. manufactures kitchen furniture.  The Company's products include kitchen sinks, kitchen cabinets, dining tables and chairs, and kitchen accessories.  Hanssem also designs and manufactures interior products, such as sofas, bedsteads, closets, drawers, lamps, bathroom and office furniture."
009420,009420 KS,009420_KS,"HanAll Biopharma Co., Ltd",Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,"HANALL BIOPHARMA CO., LTD. manufactures prescription drugs for hospitals. The Company specializes in making oral and non-oral antibiotics and amino-acid infusions."
009540,009540 KS,009540_KS,HD Korea Shipbuilding & Offshore Engineering Co Lt,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy,"HD Korea Shipbuilding & Offshore Engineering Co., Ltd. operates as a shipbuilding and offshore company. The Company provides industrial plant engineering, special and naval shipbuilding, marine engine and machinery, industrial machinery and energy services. HD Korea Shipbuilding & Offshore Engineering markets its products worldwide."
009830,009830 KS,009830_KS,Hanwha Chemical Corporation,Materials,Materials,Chemicals,Commodity Chemicals,"Hanwha Solutions Corporation manufactures and distributes solar energy components. The Company provides power plants operation, electricity retail, photovoltaic cells and modules production, and other related services. Hanwha Solutions also offers petrochemical, plastic products manufacturing, and real estate services."
009900,009900 KS,009900_KS,Myoung Shin Industrial Ltd,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,"Myoung Shin Industrial Co.,Ltd produces and sells auto parts. The Company provides hot stamping parts designing, manufacturing, sales, and other services. Myoung Shin Industrial markets its products throughout Korea."
010060,010060 KS,010060_KS,OCI Company Ltd,Materials,Materials,Chemicals,Diversified Chemicals,"OCI Holdings Company Ltd. operates chemical business. The Company manufactures inorganic chemicals, petroleum and coal chemicals, fine chemicals, renewable energy and insulation materials. OCI Holdings markets its products primarily throughout Korea with limited overseas."
010120,010120 KS,010120_KS,"LSIS Co., Ltd",Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm,"LS Electric Co., Ltd. manufactures and distributes electrical power equipment. The Company produces smart power equipment, smart automation equipment, smart railway equipment, and other related products. LS Electric also develops smart grid, micro grid, energy storage systems, and metal products."
010130,010130 KS,010130_KS,"Korea Zinc Co., Ltd",Materials,Materials,Metals & Mining,Diversified Metals & Mining,"Korea Zinc Company, Ltd. specializes in non-ferrous metal smelting industry. The Company manufactures zinc ingots, electrolytic gold, silver, lead, sulfuric acid, and copper. Korea Zinc provides its products to domestic and overseas markets."
010140,010140 KS,010140_KS,"Samsung Heavy Industries Co., Ltd",Industrials,Capital Goods,Machinery,Construction Machinery & Heavy,"Samsung Heavy Industries Co., Ltd. manufactures crude oil tankers, container vessels, bulk carriers, cruisers, and passenger ferries.  The Company also produces steel and bridge structures, and material handling equipment.  In addition, Samsung Heavy Industries provides civil engineering, architectural, and plant construction services."
010620,010620 KS,010620_KS,"Hyundai Mipo Dockyard Co., Ltd",Industrials,Capital Goods,Machinery,Construction Machinery & Heavy,"Hyundai Mipo Dockyard Co., Ltd. is shipbuilders in the sectors of medium-sized conventional ships and specialized vessels. The Company constructs and delivers medium-ranged product carriers, chemical tankers, containerships, LPG carriers, pure car truck carriers and others."
010780,010780 KS,010780_KS,"IS DongSeo Co., Ltd",Industrials,Capital Goods,Construction & Engineering,Construction & Engineering,"IS Dongseo Co., Ltd. manufactures and markets construction materials, such as tiles, concrete made products, PC pipes, and piles.  The Company also produces sanitary ceramic fixtures and structural wood products."
010950,010950 KS,010950_KS,S-Oil Corporation,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing,"S-Oil Corporation refines crude oil and sells petroleum and its related products. The Company mainly focuses on petroleum refining, petrochemical, and lubricant business. S-Oil's major products are gasoline, bunker oil, kerosene, naphtha, lubricants, benzene, toluene, and xylene."
011070,011070 KS,011070_KS,"LG Innotek Co., Ltd",Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components,"LG Innotek Co., Ltd. develops and produces cellular phone parts such as mini vibration motors, LCD modules, light emitting diode (LED), camera modules, protection circuit modules. The Company also manufactures liquid crystal displays (LCD) and plasma display panels (PDP) parts such as inverters, intelligent power modules, multi chip modules, and tuners."
011170,011170 KS,011170_KS,Lotte Chemical Corporation,Materials,Materials,Chemicals,Commodity Chemicals,"Lotte Chemical Corporation manufactures a wide range of petrochemical products such as high density polyethylene, polypropylene, and ethylene glycol. The Company's products are used in manufacturing general housewares, pipes, films, fabrics, bottles, containers, and automotive parts."
011200,011200 KS,011200_KS,"Hyundai Merchant Marine Co.,Ltd",Industrials,Transportation,Marine Transportation,Marine Transportation,"HMM Company Limited provides container shipping services. The Company offers bulk shipping, marine freight transportation, sea freight water transport, and other related services. HMM also offers courier, express, and tourism development services."
011210,011210 KS,011210_KS,HYUNDAI WIA Corporation,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,"Hyundai Wia Corporation manufactures automobile parts. The Company also produces machine tools, robots, presses, industrial machinery, and aircraft parts."
011780,011780 KS,011780_KS,"Kumho Petrochemical Co., Ltd",Materials,Materials,Chemicals,Commodity Chemicals,"Kumho Petrochemical Co., Ltd. manufactures synthetic rubbers, synthetic resins, and rubber chemicals.  The Company's products include styrene butadiene, acrylonitrile butadiene, polystyrene, expandable polystyrene, and antioxidant.  Kumho Petrochemical provides construction, transportation, and financial services through its subsidiaries."
011790,011790 KS,011790_KS,"SKC Co., Ltd",Materials,Materials,Chemicals,Commodity Chemicals,"SKC Co., Ltd. manufactures a variety of films, including polyester films, silicon coated films, and inkjet films.  The Company also produces chemical products, such as propylene oxide, propylene glycol, and styrene monomer. In addition, SKC provides materials for photovoltaic."
012330,012330 KS,012330_KS,"Hyundai Mobis Co.,Ltd",Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,"Hyundai Mobis Co., Ltd. manufactures and markets automotive parts and equipment such as automotive service components, modules, and systems. The Company also contracts environmental projects including sewage treatment plant and industrial waste water treatment plant construction."
012450,012450 KS,012450_KS,"Hanwha Aerospace Co., Ltd",Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense,"Hanwha Aerospace Co., Ltd. operates as an aircraft parts manufacturing company. The Company produces and sells aircraft gas turbine engine products, aircraft compressors, low pressure turbines, and other products. Hanwha Aerospace markets its products worldwide."
012750,012750 KS,012750_KS,S-1 Corporation,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Security & Alarm Services,"S1 Corporation provides security systems services.  The Company installs, maintains, and sells a variety of security systems used in households, businesses, financial institutions, and automobiles.  S1 also provides guarding services, systems integration services, structural safety diagnosis services."
013890,013890 KS,013890_KS,Zinus Inc,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Home Furnishings,"Zinus Inc. wholesales and distributes household furniture. The Company wholesales and distributes bed frames, sofas, platform beds, mattresses, and other related products. Zinus markets its products worldwide."
014680,014680 KS,014680_KS,"Hansol Chemical Co., Ltd",Materials,Materials,Chemicals,Specialty Chemicals,"Hansol Chemical Co., Ltd. manufactures and distributes fine chemicals. The Company produces hydrogen peroxide, sodium hydrosulfite, benzoyl peroxide, hitex sb latex, hanbl nb latex, hansphere, flocculant, organic coagulant, retention agents, and fixing agents. Hansol Chemical also produces electronic materials, tapes, paper and environmental products, and specialty gas."
014820,014820 KS,014820_KS,Dongwon Systems Corporation,Materials,Materials,Containers & Packaging,"Metal, Glass & Plastic Contain","Dongwon Systems Corporation manufactures and distributes containers and packaging products. The Company produces flexible packaging, glass bottles, cans, and other related products. Dongwon Systems also produces industrial films and aluminum foils."
015760,015760 KS,015760_KS,Korea Electric Power Corporation,Utilities,Utilities,Electric Utilities,Electric Utilities,"Korea Electric Power Corporation (KEPCO) generates, transmits, and distributes electricity to South Korea for a variety of uses. The Company also builds and operates hydro-power, thermal-power, and nuclear power units in South Korea."
016360,016360 KS,016360_KS,"Samsung Securities Co.,Ltd",Financials,Financial Services,Capital Markets,Investment Banking & Brokerage,"Samsung Securities Co.,Ltd. provides personalized asset management services. The Company provides brokerage, investment trust, underwriting services, and other services. Samsung Securities also provides cyber trading, mutual funds, asset backed securities issuing, municipal bonds trading services."
016380,016380 KS,016380_KS,Kg Dongbusteel Ltd,Materials,Materials,Metals & Mining,Steel,"KG Dongbu Steel manufactures and distributes steel products. The Company produces steel pipes, bar steel, cold rolled galvanized steel, tin plate steel, and other related products. KG Dongbu Steel markets its products worldwide."
017670,017670 KS,017670_KS,"SK Telecom Co., Ltd",Communication Services,Telecommunication Services,Wireless Telecommunication Ser,Wireless Telecommunication Ser,"SK Telecom Co., Ltd. is a Korean mobile and telecommunications operator. The Company provides cellular voice, wireless data, and wireless internet services. SK Telecom also offers fixed line services and platform services."
017800,017800 KS,017800_KS,"Hyundai Elevator Co., Ltd",Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie,"Hyundai Elevator Co., Ltd. (HELCO) manufactures, installs, sells, and services elevators, escalators, moving walkways, automated parking systems, and material handling systems.  The Company also produces screen doors used on platforms in train stations."
018260,018260 KS,018260_KS,"Samsung SDS Co., Ltd",Information Technology,Software & Services,IT Services,IT Consulting & Other Services,"Samsung SDS Co., Ltd. provides information technology services, such as consulting and technical services. The Company also offers outsourcing services including application outsourcing, IT infrastructure outsourcing, and cloud computing."
018880,018880 KS,018880_KS,Hanon Systems,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment,"Hanon Systems manufactures a variety of automotive air control equipment.  The Company's products include air conditioners, heaters, cooling modules, compressors, radiators, fans, evaporators, and condensers. Hanon Systems distributes its products on an original equipment manufacturing (OEM) basis."
019170,019170 KS,019170_KS,Shinpoong Pharmaceutical Ltd,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals,"Shin Poong Pharmaceutical Co., Ltd. manufactures pharmaceutical raw materials and prescription drugs, such as cephalosporin antibiotics, hemostatics, sedative agents, and anti-diabetics."
